k;bfs(n);a*(n);bfs(t);a*(t);bfs_mem(n);a*_mem(n);bfs_mem(t);a*_mem(t)
1;94;62;0.000973;1.944898;92;62;0.001189;1.074011
2;183;76;0.012013;1.091047;146;74;0.001988;1.018947
3;326;104;0.002506;1.473757;177;100;0.002424;1.303051
4;618;118;0.018192;1.658833;205;119;0.00301;1.500187
5;1202;132;0.023033;1.878807;243;131;0.003828;1.642719
6;1817;153;0.035985;2.16274;270;157;0.004367;1.928773
7;3262;188;0.079458;2.615626;300;176;0.013448;2.14122
8;6356;202;0.219146;2.888162;338;173;0.017973;2.289125
9;9261;230;0.480973;3.211035;362;199;0.008113;2.592324
10;17479;230;1.652283;3.371943;388;211;0.010145;2.742664
11;30314;265;5.086116;3.83429;421;225;0.022225;2.959249
12;50146;286;14.208469;4.175941;464;261;0.021001;3.269161
13;108317;258;69.26602;3.875823;492;248;0.02356;3.457916
14;188569;286;218.073391;4.277061;516;277;0.017463;3.700294
