k;bfs(n);a*(n);bfs(t);a*(t);bfs_mem(n);a*_mem(n);bfs_mem(t);a*_mem(t)
1;94;62;0.000998;1.952128;88;62;0.002124;1.076766
2;183;76;0.012099;1.092317;118;70;0.00363;1.019748
3;326;104;0.002526;1.474443;141;92;0.007403;1.304151
4;618;118;0.018875;1.707239;165;107;0.006755;1.533083
5;1202;132;0.026568;1.914908;195;115;0.013831;1.644637
6;1817;153;0.038043;2.213946;214;137;0.012511;1.932056
7;3262;188;0.075602;2.675001;240;152;0.022278;2.146866
8;6356;202;0.199526;2.859261;270;157;0.02841;2.289986
9;9261;230;0.431749;3.23555;290;179;0.018892;2.601329
10;17479;230;1.517255;3.330895;312;187;0.021435;2.784099
11;30314;265;4.898249;3.835893;337;201;0.035663;2.972772
12;50146;286;13.567882;4.066991;368;225;0.039616;3.288896
13;108317;258;67.493283;3.87795;392;228;0.043504;3.440889
14;188569;286;212.915316;4.288334;412;245;0.040745;3.701457
